Dataset,Rows,Numerical columns,Categorical columns,Contain missing values
auto-mpg,398,4,3,yes
auto-price,159,14,1,no
auto93,93,16,6,no
bodyfat,252,14,0,no
bolts,40,7,0,no
breasttumor,286,1,8,no
cholesterol,303,6,7,yes
cloud,108,4,2,no
concrete,103,9,0,no
cpu,209,6,1,no
dee,365,6,0,no
diabetes,43,2,0,no
echomonths,130,6,3,yes
ele-1,495,2,0,no
elusage,55,1,1,no
fishcatch,158,5,2,no
fruitfly,125,2,2,no
gascons,27,4,0,no
kidney,76,3,2,no
lowbwt,189,2,7,no
machine,209,6,0,no
mbagrade,61,1,1,no
ozone,330,8,0,no
pharynx,195,1,10,no
pollution,60,15,0,no
pwlinear,200,10,0,no
pyrim,74,27,0,no
servo,167,0,4,no
strike,625,5,1,no
veteran,137,3,4,no
